slug,event,start_date,host,version,original_version,legacy_flags,notes
EBUCC2023,EBUCC 2023,2023-06-09,live.ebucc.eu,v1.9.14,20250612.082841,-unprefixed,
wbucc2024,WBUCC 2024,2024-10-14,live.wbucc.org,v1.9.14,,-season-id -unprefixed,
ebucc2025,EBUCC 2025,2025-06-06,live.ebucc.eu,v1.9.14,20250612.082841,-unprefixed,
WWUC2025,WWUC 2025,2025-09-18,results.wfdf.sport/wwuc,v1.9.14,dev,,
e2cf25,EUCF 2025,2025-09-26,eucf.ultimatefederation.eu,v1.9.14,1.8.2,-season-id,
wbuc2025,WBUC 2025,2025-11-16,wbuc.wfdf.sport,v1.9.14,1.9.14,,
pauc2025,PAUC 2025,2025-12-01,results.pauc.sport,v1.9.14,1.9.15,,
euic2026,EUIC 2026,2026-01-29,euic-schedule.ultimatefederation.eu,v1.9.14,1.9.16,,
26ELITLEU,Elite Invite 2026,2026-05-23,elite-invite.ultimatefederation.eu,v1.9.14,1.9.17,,
wmucc2026,WMUCC 2026,2026-06-28,wmucc.wfdf.sport,v1.9.14,1.9.17,,
wjuc2026,WJUC 2026,2026-07-11,wjuc.wfdf.sport,v1.9.14,1.9.17,,
26EYUCVIE,EYUC U17 2026,2026-08-03,eyuc-schedule.ultimatefederation.eu,v1.9.14,1.9.17,,
WUCC2026,WUCC 2026,2026-08-15,results.wfdf.sport/wucc-2026,v3.0.6,3.0.6,,
